Set,Price_Euro,Pieces,Minifigs
Kai vs. Wyplash,,,2.0
Kai vs. Wyplash,,,2.0
Jay Vs. Lasha,,,2.0
Jay vs. Lasha,,,2.0
Baby Raptor,,,
Owen with Baby Raptor,,,1.0
Batman with Batarang,,,1.0
Robin,,,1.0
Superman,,,1.0
The Flash,,,1.0
Joker,,,1.0
Batman,,,1.0
Show Jump,,,
Emmet with Tools,,,1.0
Rex with Jetpack,,,1.0
Emma's Kitty Chico,,,
Shop with Costumes,,,
Sweet Baby,,,1.0
Bear's Cave,,,
Andrea's Booth with Waffles,,,
Robot on paddleboard,,,1.0
Ice Cream Parlour,,,
Andrea's Stage,,,
Stephanie's Puppy Dash,,,
Halloween Store,,,
Olivia's Bakery,,,
Jack,,,1.0
Possessed Pizza Delivery Man,,,1.0
Parker,,,1.0
TLM2 Accessory Set 2019,,,4.0
Oni Battle Pack,,,3.0
Emmet Key Chain,,,
Lucy Key Chain,,,
Emmet's Construction Worker Vest,,,
Batarang,,,
Flail,,,
Emmet Mask,,,
Lucy Hair,,,
Emmet Pod,,,1.0
Sweet Mayhem's Disco Pod,,,1.0
TLM2 Tumbler with Straw,,,
TLM2 Hydration Bottle,,,
TLM2 Notebook,,,
Emmet Plush,,,
Lucy Plush,,,
Friends Creative Bag Charms,,,
Stephanie Key Chain,,,
Olivia Key Chain,,,
Friends Phone Cover,,,
Friends Tumbler with Straw,,,
Cookie Cutters,,,
LEGO Friends Ceramic Mug,,,
LEGO Friends Hair Accessory Set,,,
Jay Keyring,,,
Nya Keyring,,,
Lloyd's Kendo Training Pod,,,1.0
4 4x4 Magnets,,,
NINJAGO Tumbler with Straw,,,
Creative Bag Charm,,,
Brick Suit Guy Key Chain,,,
Cactus Boy Key Chain,,,
Elephant Girl Key Chain,,,
LEGO Greeting Card,,,1.0
LEGO Toy Soldier Ornament,,,
Drinking cup,,,
LEGO® Minifigure Ceramic Mug,,,
LEGO Brick Ice Cube Tray,,,
Ice Lollipop Tray,,,
LEGO Key Hanger,,,
London Bus Magnet,,,
4 4x4 Magnets,,,
Creative Stationery Set,,,
City Firefighter Key Chain,,,
City Police Vest,,,
LEGO DUPLO Tableware,,,
Brick Stickers,,,
Creative Rings,,,
Stormtrooper Keyring,,,
Luke Skywalker Key Chain,,,
Princess Leia Key Chain,,,
Kylo Ren Key Chain,,,
Spider Man Key Chain,,,
Batman Key Chain,,,
Superman Key Chain,,,
Batwoman Key Chain,,,
Ariel Key Chain,,,
Aurora Key Chain,,,
Creeper Key Chain,,,
Chicken Skater Pod,,,1.0
2x6 Key Chain,,,
TLM2 Stop Sign Shield,,,
Wooden Minifigure,,,
"Wooden Minifigure, Colette Mon Amour Edition",,,
Elsa Key Chain,,,
Anna Key Chain,,,
Olaf Key Chain,,,
Minifigure Factory Box,,,
Young Wu,,,1.0
Jay,,,1.0
Heavy Metal,,,1.0
Iron Baron,,,1.0
Lloyd,,,1.0
Daddy No Legs,,,1.0
Nya,,,1.0
Blizzard Samurai,,,1.0
Cole,,,1.0
Pyro Whipper,,,1.0
Kai,,,1.0
Blizzard Samurai,,,1.0
Zane,,,1.0
Jay,,,1.0
Luke Skywalker,,,1.0
Resistance Bomber,,,
Slave I,,,
U-wing,,,
IG-88,,,1.0
AT-M6,,,
Millennium Falcon,,,
B-wing,,,
First Order Stormtrooper ,,,1.0
Jedi Interceptor,,,
First Order SF TIE Fighter,,,
Kylo Ren's TIE Silencer,,,
Police Officer and Jet,,,1.0
Fireman,,,1.0
Lawnmower,,,1.0
Police Officer with Jetpack,,,1.0
Gyrocopter,,,1.0
Diver,,,1.0
Police Buggy,,,1.0
Astronaut,,,2.0
Pizza Delivery Biker,,,1.0
Traffic Cop,,,1.0
Space Buggy,,,1.0
Lumberjack,,,1.0
FIRST Competitions Medal,,,
Spike Prime Marketing Kit,,,
BOOMTOWN BUILD Discover More,,,
Butterfly,,,
LEGO System House,,,
LEGO Play Day polybag,,,5.0
Christmas X-wing,,,3.0
Reusable Bag,,,
Yoda Minifigure Link Watch,,,
2x4 Red Luggage Tag,,,
2x4 Blue Luggage Tag,,,
LEGO Pencils 6 pack,,,
Building a Dream - The Story of the LEGO House,,,
Emma Buildable Watch,,,
Boy Luggage Tag,,,
Storage Bag,,,
Emmet Alarm Clock,,,
Wyldstyle Alarm Clock,,,
Emmet Minifigure Link Watch,,,
Unikitty Buildable Watch with Figure Link,,,
Wyldstyle Minifigure Link Watch,,,
Hot Dog Guy Key Light,,,
Banana Guy Key Light,,,
Batman Luggage Tag,,,
Emmet Luggage Tag,,,
Sweet Mayhem Luggage Tag,,,
Unikitty Luggage Tag,,,
Unikitty Night Light,,,
THE LEGO MOVIE 2 Sticker Roll,,,
Batman Key Light,,,
Emmet Key Light,,,
Unikitty Key Light,,,
Boy NiteLite,,,
Girl NiteLite,,,
Unikitty Torch,,,
Bag Tag,,,
Lunch Set Iconic Girl,,,
The LEGO Movie 2 Awesome Trading Cards,,,
The LEGO Movie 2 Awesome Collector Album,,,
Holographic Brick Backpack,,,
Boba Fett Bag Tag,,,
Darth Vader Bag Tag,,,
R2 D2 Bag Tag,,,
Yoda Bag Tag,,,
Exclusive LEGO Ford Mustang Key Chain,,,
20th Anniversary Darth Vader Brick Clock,,,
20th Anniversary Darth Vader Link Watch,,,
Stormtrooper Bag Tag,,,
Emmet Clip,,,
Unikitty Clip,,,
LEGO Star Wars Notebook with Gel Pen,,,
Sweet Mayhem Clip,,,
Benny Clip,,,
Emmet Minifigure Plush,,,
Unikitty Plush,,,
Captain Marvel Black & White Art Print,,,
Captain Marvel Art Print,,,
Avengers: Endgame art print,,,
Avengers: Endgame Black & White Art Print,,,
Spider-Man: Far From Home Art Print,,,
Spider-Man: Far From Home Black & White Art Print,,,
THE LEGO MOVIE 2: The Second Part (Blu-ray + DVD),,,
20th Anniversary Star Wars Poster,,,
Star Wars 20th anniversary art print,,,
Minifigure Notebook,,,
Lloyd Luggage Tag,,,
Mechanical Pencil,,,
2x4 Brick Luggage Tag,,,
"Red, Bright Blue and Yellow Wall Hanger Set",,,
NASA Apollo 11 Lunar Lander Patch,,,
Reversible Canvas Tote Bag ,,,
Minifigure Belight Backpack,,,
Friends Belight Backpack,,,
NINJAGO Belight Backpack,,,
NINJAGO Pencil Roll,,,
Friends Pencil Roll,,,
Minifigure Pencil Roll,,,
Teen Minifigure Backpack,,,
Minifigure Drawstring Bag,,,
Kindergarten Backpack,,,
Minifigure Lunch Box,,,
NINJAGO Lunch Box,,,
Stranger Things Sketchbook,,,
Stranger Things Poster,,,
Back to School Pack,,,
Belgian Patent for LEGO Elements 1958,,,
"1st Edition Elephant Water Colour Print, Circa 1937",,,
"1st Edition of Wooden Duck Print, 1958",,,
Toy Hen and Chicks Art Print,,,
Australian Patent LEGO Minifigure 1977,,,
Japanese Patent LEGO Duplo Brick 1968 Art Print,,,
VIP Gifting Set,,,
Picnic Blanket,,,
LEGO Lunchbox,,,
LEGO Batman Deluxe Costume,,,
Santa Bag Tag,,,
Holiday Bag Tag R2 D2,,,
Holiday Bag Tag Chewbacca,,,
Holiday Bag Tag Darth Vader,,,
Holiday Bag Tag Yoda,,,
Brick Friday 2019 Minifigure,,,1.0
Brick Friday 2019 Brick,,,
LEGO Masters Shopping Bag,,,
Chewbacca Plush,,,
Lion Dance,,,
Piglet,,,
Spring,,,
Summer,,,
Autumn,,,
Winter,,,
Reindeer ornament,,,
Snowman ornament,,,
Santa ornament,,,
Christmas tree ornament,,,
Surfer Van,,,1.0
Buildable 2x4 Red Brick,,,
Buildable 2x4 Red Brick,,,
Windmill,,,
Amsterdam BrickHeadz,,,
Tantive IV,,,
Summer Sailboat,,,
100 Stores minifigure,,,1.0
Arendelle Castle,,,
Beijing BrickHeadz,,,
Minifigure box,,,
Löwenstein Castle,,,3.0
Antique Fire Engine,,,
Skyline Express,,,6.0
Wild West Saloon,,,
Isle of Peril,,,
Eight Studs,,,2.0
Science Tower,,,2.0
The LEGO Story,,,4.0
Imagine it! Build it!,,,2.0
Hot Shot Carnival ,,,3.0
Vintage Roadster,,,
Bikes!,,,2.0
Steampunk Mini Chess,,,
Blocks magazine issue 52,,,
Blocks magazine issue 53,,,
Blocks magazine issue 54,,,
Blocks magazine issue 55,,,
Blocks magazine issue 56,,,
Blocks magazine issue 57,,,
Blocks magazine issue 58,,,
Blocks magazine issue 59,,,
Blocks magazine issue 60,,,
Blocks magazine issue 61,,,
Blocks magazine issue 62,,,
Blocks magazine issue 63,,,
Brick Fanatics magazine issue 3,,,
Brick Fanatics magazine issue 4,,,
Brick Fanatics magazine issue 5,,,
Brick Fanatics magazine issue 6,,,
Brick Fanatics magazine issue 7,,,
Brick Fanatics magazine issue 8,,,
Brick Fanatics magazine issue 9,,,
Brick Fanatics magazine issue 10,,,
Brick Fanatics magazine issue 11,,,
Brick Fanatics magazine issue 12,,,
BrickJournal Issue 55,,,
BrickJournal Issue 56,,,
BrickJournal Issue 57,,,
BrickJournal Issue 58,,,
BrickJournal Issue 59,,,
BrickJournal Issue 60,,,
Mini Captain Marvel Ship,,,
Cologne BrickHeadz,,,
Cool Car,,,
Dragon,,,
Easter Chick,,,
Elephant,,,
Mini Emmet's Dream House/Rescue Rocket,,,
Flower,,,
Ganymede,,,
Mini Harley Davidson,,,
"LEGO Star Wars: Visual Dictionary, New Edition",,,1.0
Star Wars Build Your Own Adventure: Galactic Missions,,,1.0
Amazing Vehicles,,,
Harry Potter Build Your Own Adventure,,,
"LEGO NINJAGO: Visual Dictionary, New Edition",,,1.0
Christmas Ideas,,,
"LEGO Star Wars: Visual Dictionary, Anniversary Edition",,,1.0
Harry Potter The Magical Guide to the Wizarding World,,,
Build Yourself Happy: The Joy of LEGO play,,,
"Lego Action Vehicles: Police Helicopter, Fire Truck, Ambulance, and More",,,
"Expanding the LEGO Winter Village, Volume 2",,,
Building LEGO BrickHeadz Heroes - Volume One: The Unofficial Guide,,,
Building LEGO BrickHeadz Villains- Volume One: The Unofficial Guide ,,,
Expanding the LEGO Winter Village,,,
Building Tales with Syd and Friends,,,
New York City Brick by Brick,,,
The Book of Bedtime Builds,,,
Build It! Wild West,,,
Build It! Monsters,,,
Build a LEGO Mustang,,,
Amazing LEGO Creations from Space with Bricks You Already Have,,,
The LEGO Castle Book: Build Your Own Mini Medieval World,,,
Knight Bus,,,
Luke Skywalker,,,
Olaf Box,,,
Panda,,,
Pig,,,
Rat,,,
Wally,,,
Zebra Batman,,,
Barb,,,1.0
PS4 Spider-Man,,,1.0
Golden Snitch,,,
Castle Byers,,,
Stormbreaker,,,
Tantive IV,,,
Tree in the Woods,,,
X-wing Trench Run,,,
Mini X-wing Fighter,,,
